,Area,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
465,0.25,0.0,38.0,38.0,38.0
466,0.25,0.0,36.0,36.0,36.0
467,0.25,0.0,35.0,35.0,35.0
468,0.25,0.0,40.0,40.0,40.0
469,0.75,1.7071067811865475,36.0,39.333333333333336,45.0
470,0.25,0.0,38.0,38.0,38.0
471,0.25,0.0,35.0,35.0,35.0
472,0.25,0.0,35.0,35.0,35.0
473,0.25,0.0,39.0,39.0,39.0
474,0.25,0.0,39.0,39.0,39.0
475,0.25,0.0,38.0,38.0,38.0
476,0.25,0.0,40.0,40.0,40.0
477,0.25,0.0,35.0,35.0,35.0
478,0.5,0.0,35.0,36.0,37.0
479,0.25,0.0,35.0,35.0,35.0
480,0.25,0.0,35.0,35.0,35.0
481,0.25,0.0,37.0,37.0,37.0
482,0.5,0.0,36.0,38.5,41.0
483,0.25,0.0,35.0,35.0,35.0
484,0.25,0.0,36.0,36.0,36.0
485,0.25,0.0,41.0,41.0,41.0
486,0.25,0.0,36.0,36.0,36.0
487,0.25,0.0,38.0,38.0,38.0
488,0.25,0.0,49.0,49.0,49.0
489,170.5,132.28174593052023,35.0,67.04692082111437,152.0
490,0.5,0.0,35.0,36.0,37.0
491,0.25,0.0,35.0,35.0,35.0
492,0.25,0.0,38.0,38.0,38.0
493,0.25,0.0,36.0,36.0,36.0
494,0.25,0.0,36.0,36.0,36.0
495,0.25,0.0,40.0,40.0,40.0
496,0.25,0.0,40.0,40.0,40.0
497,0.25,0.0,37.0,37.0,37.0
498,0.25,0.0,40.0,40.0,40.0
499,0.25,0.0,38.0,38.0,38.0
500,0.25,0.0,36.0,36.0,36.0
501,0.25,0.0,36.0,36.0,36.0
502,1.0,1.7071067811865475,35.0,37.5,42.0
503,0.25,0.0,36.0,36.0,36.0
504,0.25,0.0,38.0,38.0,38.0
505,0.25,0.0,35.0,35.0,35.0
506,7.25,14.207106781186546,35.0,39.93103448275862,46.0
507,0.5,0.0,36.0,37.0,38.0
508,0.25,0.0,35.0,35.0,35.0
509,0.25,0.0,38.0,38.0,38.0
510,0.25,0.0,42.0,42.0,42.0
511,0.25,0.0,38.0,38.0,38.0
512,45.25,64.64518395093589,35.0,41.96132596685083,54.0
513,0.25,0.0,41.0,41.0,41.0
514,0.25,0.0,39.0,39.0,39.0
